2017-11-13 14:02:48,883 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/pom.xml.
2017-11-13 14:02:52,058 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/java
2017-11-13 14:02:52,061 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/java
2017-11-13 14:02:53,525 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 11 sec
2017-11-13 14:02:55,571 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:02:55,576 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 14:02:55,584 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:02:55,587 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 14:04:25,663 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/pom.xml.
2017-11-13 14:04:26,206 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:04:26,208 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 14:04:26,214 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:04:26,216 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 14:04:29,995 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-11-13 14:04:37,368 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment
2017-11-13 14:04:37,369 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2017-11-13 14:19:34,679 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:19:34,681 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 14:19:34,685 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:19:34,687 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 14:19:35,715 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:19:35,720 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 14:19:35,725 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 14:19:35,727 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
