2018-10-25 11:02:34,318 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-10-25 11:06:18,160 [Worker-7: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/pom.xml.
2018-10-25 11:06:22,426 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP2-02-Prova-StackParenthesis-environment/src/main/java
2018-10-25 11:06:22,429 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP2-02-Prova-StackParenthesis-environment/src/test/java
2018-10-25 11:06:23,905 [Worker-7: Importing Maven projects] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 20 sec
2018-10-25 11:06:25,344 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:06:25,369 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:06:25,374 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:06:25,376 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:07:41,033 [Worker-7: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/pom.xml.
2018-10-25 11:07:41,537 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:07:41,539 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:07:41,546 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:07:41,548 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:22:49,083 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:22:49,087 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:22:49,107 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:22:49,109 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:22:54,658 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-10-25 11:23:01,467 [Worker-25: Launching PP2-02-Prova-StackParenthesis-environment] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment
2018-10-25 11:23:01,468 [Worker-25: Launching PP2-02-Prova-StackParenthesis-environment] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2018-10-25 11:26:23,998 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:26:24,001 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:26:24,004 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:26:24,007 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:26:25,087 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:26:25,090 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:26:25,092 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:26:25,096 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:31:41,717 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:31:41,720 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:31:41,722 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:31:41,724 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:54:19,573 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:54:19,575 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:54:19,577 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:54:19,595 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 11:55:28,214 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 11:55:28,220 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 11:55:28,223 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
